USER, RANK, TITLE, ARTIST, ALBUM, GENRE, PLAYS
Q605030782, 1, Thirst, Why?, Mumps ect., EXPERIMENTAL, 25
Q605030782, 2, Blackout Stout, FIDLAR, FIDLAR, ROCK, 30
Q605030782, 3, The Vowels part 2, Why?, Alopecia, EXPERIMENTAL, 25
Q605030782, 4, Night Moves, Bob Seger, 1977 Billboard top USA singles, ROCK, 68
Q605030782, 5, One Armed Scissor, At the Drive-In, Relationship of Command, ROCK, 45
Q605030782, 6, Crackhead Ted, FIDLAR, Shit We Recorded in our Bedroom EP, PUNK, 25
Q605030782, 7, Heart in a Blender, Eve 6, Horrorscope, ROCK, 68
Q605030782, 8, All My Friends, LCD Soundsystem, Sound of Silver, ALTERNATIVE, 46
Q605030782, 9, Bang the Drum All Day, Todd Rundgren, The Ever pop Tortured Artist Effect, ROCK, 89
Q605030782, 10, Make Me Feel Human, Kyle Andrews, Robot Learn Love, ALTERNATIVE, 32
Q564348235, 10, Fat, Weird Al Yankovic, Even Worse, POP, 64
Q564348235, 9, More Than a Feeling, Boston, Boston, ROCK, 123
Q564348235, 8, Don't Stop Believing, Journey, Escape, ROCK, 222
Q564348235, 7, Eye of the Tiger, Survivor, Eye of the Tiger, ROCK, 285
Q564348235, 6, War, Edwinn Star, , FUNK, 298
Q564348235, 5, Copacabana, Barry Manilow, Even Now, DISCO, 302
Q564348235, 4, Fur Elise, Ludwig Van Beethoven, , CLASSICAL, 311
Q564348235, 3, You Spin Me Right Round, Dead or Alive, Youthquake, SYNTHPOP, 321
Q564348235, 2, What a Wonderful World, Louis Armstrong, , SOUL, 333
Q564348235, 1, Maple Leaf Rag, Scott Joplin, , RAGTIME, 343
X1646070643, 10, If You Can't Hang, Sleeping With Sirens, Let's Cheers to This, DANCE, 90
X1646070643, 9, Never Gonna Give You Up, Rick Astley, Whenever You Need Somebody, POP, 666
X1646070643, 8, 99 Luftballons, Nena, NENA, POP, 99
X1646070643, 7, Tastes Like Kevin Bacon, iwrestledabearonce, It's All Happening, METAL, 50
X1646070643, 6, Smokahontas, Attack Attack!, Attack Attack!, DUBSTEP, 120
X1646070643, 5, Paper Wings, Rise Against, Siren Song of the Counter-Culture, DANCE, 160
X1646070643, 1, Fake You Out, Twenty One Pilots, Vessel, POP, 250
X1646070643, 4, The Legend of Hardhead Ned, Watsky & Dylan Saunders, Cardboard Castles, RAP, 0
X1646070643, 3, I'm A Gangster, Rappy McRapperson, I'm A Gangster, RAP, 0
X1646070643, 2, Goodnight Goodnight, Hot Hot Heat, Goodnight Goodnight, INDIE, 0
X44560003, 10, Sunday Morning, The Velvet Underground, The Velvet Underground & Nico, CLASSIC ROCK, 25
X44560003, 9, Could You Be Loved, Bob Marley, Legend (Deluxe Edition), REGGAE, 32
X44560003, 8, The Weight, The Band, Music From Big Pink, FOLK, 41
X44560003, 7, The Sounds of Silence, Simon & Garfunkel, Wednesday Morning 3 A.M., FOLK, 53
X44560003, 6, Good Times Bad Times, Led Zeppelin, Led Zeppelin, CLASSIC ROCK, 57
X44560003, 5, One More Cup Of Coffee, The White Stripes, The White Stripes, BLUES, 68
X44560003, 4, Willie The Pimp, Frank Zappa, Hot Rats, CLASSIC ROCK, 79
X44560003, 3, The Great Gig in the Sky, Pink Floyd, The Dark Side of the Moon, CLASSIC ROCK, 94
X44560003, 2, Under Pressure, Queen, Hot Space, CLASSIC ROCK, 101
X44560003, 1, Old Man, Neil Young, Harvest, FOLK, 113
Q1997604978, 2, Centuries, Fall Out Boy, America Beauty, ROCK, 9
Q1997604978, 1, lalala, Naughty Boy, Hotel Cababa, DANCE, 10
Q1997604978, 3, Habits, Tove Lo, Truth Serum, POP, 8
Q1997604978, 4, Blank space, Taylor Swift, 1989, SYNTHPOP, 7
Q1997604978, 5, Animals, Maroon 5, v, DANCE, 6
Q1997604978, 6, Maps, Maroon 5, v, POP, 5
Q1997604978, 7, Bang Bang, Jessie J, Sweet Talker, POP, 4
Q1997604978, 8, rather be, clean bandit, new eyes, HOUSE, 3
Q1997604978, 9, Hard Out Here, Lily Allen, sheegus, SYNTHPOP, 2
Q1997604978, 10, take my hand, simple plan, simple plan, POP, 1
Q799566174, 1, Be Like That, 3 Doors Down, The Better Life, ALTERNATIVE, 64
Q799566174, 2, Fine Again, Seether, Best of Seether, GRUNGE, 54
Q799566174, 3, Best of You, Foo Fighters, Foo Fighters Greatest Hits, ROCK, 43
Q799566174, 4, Battle Born, Five Finger Death Punch, The Wrong Side of Heaven Pt.2, METAL, 40
Q799566174, 5, Far From Home, Five Finger Death Punch, War Is The Answer, METAL, 37
Q799566174, 6, Second Chance, Shinedown, The Sound of Madness, GRUNGE, 36
Q799566174, 7, Swing Life Away, Rise Against, Siren Song of the Counter Culture, ALTERNATIVE, 35
Q799566174, 8, Swing Life Away (MGK), Machine Gun Kelly, Black Flag, HIP-HOP, 31
Q799566174, 9, In Loving Memory, Alter Bridge, One Day Remains, HARD ROCK, 30
Q799566174, 10, The Prayer, Kid Cudi, A Kid named Cudi, RAP, 28
X923846235, 1, Uptown Funk, Mark Ronson & Bruno Mars, Uptown Special, FUNK, 100
X923846235, 2, Stay With Me, Sam Smith, In the Lonely Hour, SOUL, 25
X923846235, 3, I'm Not the Only One, Sam Smith, In the Lonely Hour, SOUL, 24
X923846235, 4, Take me to church, Hozier, Hozier, INDIE, 23
X923846235, 5, No Interruption, Hoodie Allen, All American, HIP-HOP, 22
X923846235, 6, Eighteen Cool, Hoodie Allen, All American, HIP-HOP, 21
X923846235, 7, Lucky Man, Hoodie Allen, All American, HIP-HOP, 20
X923846235, 8, Uptown, Drake, So Far Gone, HIP-HOP, 24
X923846235, 9, Thinking Out Loud, Ed Sheeran, x, SOUL, 35
X923846235, 10, N.Y. State of Mind, Nas, Illmatic XX, HIP-HOP, 56
Q1251895981, 1, Gaur Plains, Xenoblade Chronicles, , SOUNDTRACK, 90
Q1251895981, 2, Heart of a champion, Network Music ensemble, Big Beat Orchestra, SOUNDTRACK, 60
Q1251895981, 3, Sailing the Sand Sea, Legend of Zelda: Skyward Sword, , SOUNDTRACK, 50
Q1251895981, 4, realm overworld, Legend of Zelda: Spirit tracks, , SOUNDTRACK, 20
Q1858389265, 6, Sugar, Maroon 5, , POP, 0
Q1858389265, 5, Love Words, Hatsune Miku, , POP, 0
Q1858389265, 3, The World is Mine, Hatsune Miku, , POP, 0
Q1858389265, 4, Tell Your World, Hatsune Miku, , POP, 0
Q1858389265, 2, Rollin' Girl, Hatsune Miku, , POP, 0
Q1858389265, 1, quanyutianxia, luotianyi, , ROCK, 0
Q1858389265, 1, Senbonzakura, Hatsune Miku, , ROCK, 0
Q1858389265, 7, Thinking Out Loud, Ed Sheeran, , POP, 0
Q1858389265, 8, Uptown Funk, Mark Ronson, , ROCK, 0
Q1858389265, 9, Love Me Like You Do, Ellie Goulding, , POP, 0
Q1858389265, 10, FourFiveSeconds, Rihanna and Kanye, , POP, 0
Q1440788451, 1, 1000hp, Godsmack, 1000hp, ROCK, 0
Q1440788451, 2, We Didn't Start the Fire, Billy Joel, Storm Front, ROCK, 0
Q1440788451, 3, Run Boy Run, WoodKid, The Golden Age, ALTERNATIVE, 0
Q1440788451, 4, Drop Dead Cynical, Amaranthe, MASSIVE ADDICTIVE, ROCK, 0
Q1440788451, 5, PIano Man, Billy Joel, Piano Man, ROCK, 0
Q1440788451, 6, You, Five Finger Death Punch, The Wrong Side of Heaven and the Righteous Side of Hell Vol.1, ROCK, 0
Q1440788451, 7, Mambo No. 5, Lou Bega, A little bit of Mambo, R&B, 0
Q1440788451, 8, y'all Want a Single, Korn, Greatest Hits Vol.1, ROCK, 0
Q1440788451, 9, Tie It Up, Kelly Clarkson, Tie It Up, COUNTRY, 0
Q1440788451, 10, Uptown Funk, Mark Ronson, Uptown Funk, POP, 0
Q1974324384, 1, El Indio, Buckethead, Electric Sea, ROCK, 10
Q1974324384, 2, Monument Valley, Buckethead, Monument Valley, ROCK, 8
Q1974324384, 3, Hey Brother, Avicii, True, DANCE, 5
Q1974324384, 4, Counting Stars, OneRepublic, Native, POP, 6
Q1974324384, 5, Lose Yourself, Eminem, 8 Mile, RAP, 3
Q1974324384, 6, Castle of Glass, Linkin Park, Living Things, ROCK, 6
Q1974324384, 7, My Songs Know What You Did in the Dark (Light Em Up), Fall Out Boy, Save Rock and Roll, PUNK, 12
Q1974324384, 8, Lonely Boy, The Black Keys, El Camino, ROCK, 3
Q1974324384, 9, Padmasana, Electric Tears, Electric Tears, AMBIENT, 5
Q1974324384, 10, Sketches of Spain (for Miles), Buckethead, Electric Tears, AMBIENT, 5
Q1890888974, 1, Una Palabra, Carlos Varela, Nubes, NUEVA TROVA, 103
Q1890888974, 2, The Garden, Einsturzende Neubauten, Ende Neu, POST-INDUSTRIAL, 96
Q1890888974, 3, Electioneering, Radiohead, Ok Computer, ALTERNATIVE, 60
Q1890888974, 4, Infinity Guitars, Sleigh Bells, Treats, POP, 60
Q1890888974, 5, Rolling in the Deep, Adele, 21, SOUL, 58
Q1890888974, 6, Because (A cappella), The Beatles, , ROCK, 56
Q1890888974, 7, Toxygene, Orb, Orblivion, HOUSE, 55
Q1890888974, 8, Here Comes the Sun, Richie Havens, Alarm Clock, FOLK, 51
Q1890888974, 9, Nyah, Hans Zimmer, Man on Fire Soundtrack, GUITAR, 39
Q1890888974, 10, What a Wonderful World, Louis Armstrong, , JAZZ, 36
X1510281961, 1, Pursuit Of Happiness (nightmare), Kid Cudi, Man On The Moon: End of Day, HIP-HOP, 0
X1510281961, 2, This Is The Last Time, The National, Trouble Will Find Me, INDIE, 0
X1510281961, 3, Indestructible, Disturbed, Indestructible, ROCK, 0
X1510281961, 4, Cinderella Man, Eminem, Recovery, HIP-HOP, 0
X1510281961, 5, Afterlife, Avenged Sevenfold, Avenged Sevenfold, ROCK, 0
X1510281961, 6, Yonkers, Tyler the Creator, Goblin, HIP-HOP, 0
X1510281961, 7, 22, Taylor Swift, Red, POP, 0
X1510281961, 8, Am I Wrong, Nico & Vinz, Black Star Elephant, POP, 0
X1510281961, 9, Anywhere But Here, Mayday Parade, Anywhere But Here, POP, 0
X1510281961, 10, The War, Angels & Airwaves, We Don't Need to Whisper, ROCK, 0
X1510281961, 11, Made In America, Toby Keith, , COUNTRY, 0
X1510281961, 12, Beers Ago, Toby Keith, , COUNTRY, 0
Q367848352, 1, 2112, Rush, 2112, PROGRESSIVE, 0
Q367848352, 2, Come Together, The Beatles, Abbey Road, ROCK, 0
Q367848352, 3, Nerevar Rising, Jeremy Soule, Morrowind Official Sound Track, CLASSICAL, 0
Q367848352, 4, Heart of Courage, Two Steps From Hell, Invincible, CLASSICAL, 0
Q367848352, 5, Sonera, Thomas Bergersen, Illusions, CLASSICAL, 0
Q367848352, 6, Welcome to Amaria, Two Steps From Hell, Amaria, CLASSICAL, 0
Q367848352, 7, Cherry Pie, Katzenjammer, A Kiss Before You Go, FOLK, 0
Q367848352, 8, Soviet Trumpeter, Katzenjammer, A Kiss Before You Go, FOLK, 0
Q367848352, 9, Breath and Life, Audiomachine, Chronicles, CLASSICAL, 0
Q367848352, 10, Who Is She?, I Monster, Neveroddoreven, ELECTRONIC, 0